M11;M12;M13;M14;M21;M22;M23;M24;M31;M32;M33;M34;M41;M42;M43;M44
-0.999530365102602;2.72036479079263E-07;3.06439102887593E-02;-242.796403690143;-2.72838257500283E-07;-0.999999999999963;-2.1982966521415E-08;-52.9999965491196;3.06439102887522E-02;-3.03334736393682E-08;0.999530365102639;-32.9876898171465;0;0;0;1;
-0.999523000244217;2.35040974330547E-07;3.08831990367596E-02;-242.802864999674;-2.35846865093016E-07;-0.999999999999972;-2.24520738476495E-08;-52.9999978523445;3.08831990367535E-02;-2.97250698907707E-08;0.999523000244244;-32.9875859942586;0;0;0;1;
-0.999516020427067;1.84858137953831E-07;3.11082771879988E-02;-242.809136613221;-1.85649848813672E-07;-0.999999999999982;-2.2561844908945E-08;-53.0000009327359;3.11082771879941E-02;-2.8326172393687E-08;0.999516020427083;-32.9875248319331;0;0;0;1;
-0.999509106644773;1.20247157943558E-07;3.13296302907076E-02;-242.814600527994;-1.21194342773246E-07;-0.999999999999992;-2.83339229953956E-08;-52.9999985993066;3.13296302907039E-02;-3.21169880132808E-08;0.99950910664478;-32.9872613179082;0;0;0;1;
-0.999501920966991;4.40157200038594E-08;3.15580414996374E-02;-242.820271606466;-4.49044860409915E-08;-0.999999999999999;-2.74541769062914E-08;-52.9999973863831;3.15580414996361E-02;-2.88576001904077E-08;0.999501920966992;-32.9869655663724;0;0;0;1;
-0.999494045351283;-4.39770689999667E-08;3.18064978789785E-02;-242.827555197538;4.30005027511059E-08;-0.999999999999998;-3.13873774133971E-08;-52.9999977836311;3.18064978789798E-02;-3.00038014243356E-08;0.999494045351284;-32.9871023745563;0;0;0;1;
-0.999484967654966;-1.27289503306882E-07;3.20904881816407E-02;-242.833772467771;1.26345769769859E-07;-0.999999999999992;-3.1436283842154E-08;-53.0000011613111;3.20904881816444E-02;-2.73655957075676E-08;0.999484967654973;-32.9863557694607;0;0;0;1;
-0.999479902758383;-1.66818670000682E-07;3.22478523636254E-02;-242.83781138079;1.65790291702363E-07;-0.999999999999986;-3.45637085890132E-08;-52.9999990404083;3.22478523636308E-02;-2.91993512493758E-08;0.999479902758396;-32.9862045927384;0;0;0;1;
-0.999474483713019;-1.99755336475589E-07;3.24153729972872E-02;-242.843588791797;1.98788875480212E-07;-0.999999999999979;-3.30376512155931E-08;-53.0000014306446;3.24153729972931E-02;-2.65764738453934E-08;0.999474483713039;-32.9866845088136;0;0;0;1;
-0.999468718039149;-2.29890493451297E-07;3.25926626885049E-02;-242.847605623416;2.2885558479882E-07;-0.999999999999973;-3.5483308233111E-08;-52.9999966138444;3.25926626885121E-02;-2.80054437118071E-08;0.999468718039175;-32.9863042995512;0;0;0;1;
-0.999462617144911;-2.58278297530873E-07;3.27792149048644E-02;-242.85272990426;2.57362492534262E-07;-0.999999999999967;-3.21577923904705E-08;-52.9999974988782;3.27792149048716E-02;-2.37043708929501E-08;0.999462617144943;-32.9862811456633;0;0;0;1;
-0.99945619058471;-2.83413487497091E-07;3.29745826633028E-02;-242.856948488581;2.82430730154689E-07;-0.99999999999996;-3.44612650361186E-08;-52.9999980174474;3.29745826633112E-02;-2.51294892175864E-08;0.99945619058475;-32.985684386068;0;0;0;1;
-0.999449442087338;-3.02808479096817E-07;3.31784977239281E-02;-242.863749211225;3.0166234304499E-07;-0.999999999999954;-3.95502729703725E-08;-52.9999986923821;3.31784977239385E-02;-2.95197948925276E-08;0.999449442087383;-32.9863105403319;0;0;0;1;
-0.999442377367492;-3.20495965030531E-07;3.33906322478887E-02;-242.868495282049;3.19494304154057E-07;-0.999999999999949;-3.53338062799328E-08;-53.000000421693;3.33906322478984E-02;-2.46459865345552E-08;0.999442377367543;-32.9857463927865;0;0;0;1;
-0.999435007216739;-3.32209565566821E-07;3.36105095106682E-02;-242.873373835489;3.31577643616833E-07;-0.999999999999945;-2.43751415146769E-08;-52.9999972508921;3.36105095106742E-02;-1.32168761913217E-08;0.999435007216794;-32.9850761733496;0;0;0;1;
-0.999427330558714;-3.42910029446269E-07;3.38380101685439E-02;-242.879170355745;3.42219526963051E-07;-0.999999999999941;-2.61977918939404E-08;-53.0000004766783;3.38380101685509E-02;-1.46027613858436E-08;0.999427330558772;-32.9847826519062;0;0;0;1;
-0.999419356402986;-3.54645730978954E-07;3.40727170462773E-02;-242.886694533756;3.53730744529164E-07;-0.999999999999937;-3.28819665342175E-08;-52.9999986698679;3.40727170462868E-02;-2.08103062619809E-08;0.999419356403048;-32.9853584348766;0;0;0;1;
-0.999411081716921;-3.55150694932951E-07;3.43145703934813E-02;-242.891460891149;3.54519225390934E-07;-0.999999999999937;-2.44867525921478E-08;-52.9999986534628;0.034314570393488;-1.23071569803334E-08;0.999411081716983;-32.9842558402406;0;0;0;1;
-0.999402511612324;-3.54407903063319E-07;3.45632721664796E-02;-242.899592964988;3.53918663009953E-07;-0.999999999999937;-2.02730326370422E-08;-52.9999995056482;3.45632721664846E-02;-8.02833266104901E-09;0.999402511612386;-32.9850279409711;0;0;0;1;
-0.999393645125922;-3.53535515105019E-07;3.48187030459003E-02;-242.905394626001;3.52730227535287E-07;-0.999999999999937;-2.92706842373461E-08;-53.0000007429483;3.48187030459083E-02;-1.69713267674272E-08;0.999393645125984;-32.9842525287258;0;0;0;1;
-0.999384487552519;-3.44905187090298E-07;3.50805649793368E-02;-242.91231947589;3.4406231207641E-07;-0.999999999999941;-3.00636449350475E-08;-52.9999971917469;3.50805649793452E-02;-1.79752400916359E-08;0.999384487552579;-32.9840645012946;0;0;0;1;
-0.999375029621049;-3.33227425662035E-07;3.53489769274261E-02;-242.919844205839;3.32777970415118E-07;-0.999999999999945;-1.85983210355584E-08;-53.0000006043065;3.53489769274303E-02;-6.82333683765326E-09;0.999375029621105;-32.9842855996831;0;0;0;1;
-0.999365276669608;-3.19075389489852E-07;3.56236408439281E-02;-242.9263839178;3.18473814702256E-07;-0.999999999999949;-2.25613533274732E-08;-52.9999975343253;3.56236408439334E-02;-1.12018363170022E-08;0.999365276669658;-32.9836572013619;0;0;0;1;
-0.999355217121878;-2.9998482426445E-07;3.59047352196689E-02;-242.934031743922;2.99239516532007E-07;-0.999999999999955;-2.61317133633422E-08;-53.0000000889081;0.035904735219675;-1.5370748473646E-08;0.999355217121923;-32.9836476394858;0;0;0;1;
-0.999344854179121;-2.73304746889683E-07;3.61920215743147E-02;-242.941201115122;2.72950033640078E-07;-0.999999999999962;-1.47417939157601E-08;-53.0000023754619;3.61920215743174E-02;-4.8535223848723E-09;0.999344854179159;-32.9830567837807;0;0;0;1;
-0.999334178149824;-2.45440415710355E-07;3.64856188320256E-02;-242.948653715643;2.45123914695279E-07;-0.99999999999997;-1.31479165991967E-08;-52.9999967930281;3.64856188320278E-02;-4.19566471085466E-09;0.999334178149854;-32.9826233004233;0;0;0;1;
-0.999323174700648;-2.08618327494303E-07;3.67857649937325E-02;-242.955992181007;2.08369714880073E-07;-0.999999999999978;-1.05922089412046E-08;-53.0000008949687;3.67857649937337E-02;-2.92000050282759E-09;0.99932317470067;-32.9821137601202;0;0;0;1;
-0.999311842349171;-1.70811376508323E-07;3.70923407279106E-02;-242.964268296339;1.7086634707786E-07;-0.999999999999985;-1.68801464783584E-09;-53.0000021728196;3.70923407279103E-02;4.65097973710425E-09;0.999311842349186;-32.9819872316402;0;0;0;1;
-0.99930014619205;-1.27400661514325E-07;3.74061200945822E-02;-242.97297271459;1.27386282853068E-07;-0.999999999999992;-2.76774057637799E-09;-52.9999989366253;3.74061200945821E-02;1.99922303220809E-09;0.999300146192059;-32.9822069833499;0;0;0;1;
-0.999287987242002;-8.15614297577801E-08;3.77295448398344E-02;-242.980842166726;8.13142003290714E-08;-0.999999999999997;-8.087194744703E-09;-53.0000023631697;0.037729544839835;-5.01348879143727E-09;0.999287987242006;-32.9813657428622;0;0;0;1;
-0.999275263110992;-3.50205777901298E-08;3.80650566065137E-02;-242.989952142674;3.48229918622935E-08;-0.999999999999999;-5.85375287701238E-09;-53.0000000339773;3.80650566065139E-02;-4.52397128991677E-09;0.999275263110992;-32.9814162003422;0;0;0;1;
